topic,problem_statement,solution,answer_option_1,answer_option_2,answer_option_3,answer_option_4,answer_option_5,correct_option_number
Spatial reasoning,"You are given a cube where each side measures 2 meters. Inside this cube, there is a smaller cube attached to one of the corners, such that it shares one vertex with the larger cube. The sides of the smaller cube measure precisely half the length of the larger cube's sides. If you were to draw the longest possible straight line inside the large cube that touches any point of the small cube and ends at the furthest point of the larger cube, how long would that line be?","The longest straight line you can draw inside the large cube would be the cube's space diagonal. For a cube with side lengths of 2 meters, the space diagonal (d) can be calculated using the formula d = a*sqrt(3), where 'a' is the side length. Hence, d = 2*sqrt(3) ≈ 3.464 meters. However, because we need to account for the smaller cube's position, this line will start from the corner of the smaller cube opposite the shared vertex with the larger cube, not from a corner of the larger cube. Thus, we need to subtract the space diagonal of the smaller cube from that of the larger cube. The side length of the smaller cube is 1 meter, so its space diagonal is 1*sqrt(3) ≈ 1.732 meters. Therefore, the longest line touching any point of the small cube and ending at the furthest point of the larger cube would be 3.464 - 1.732 = 1.732 meters.",1.732 meters,2 meters,2.828 meters,3.464 meters,Another answer,4
Operation of mechanisms,"You are presented with a box that has three levers: A, B, and C. Each lever can be in an 'up' or 'down' position. The box is currently locked. The unlocking mechanism is governed by the following rules: 1. If lever A is up, then lever B must be down to unlock the box. 2. Lever C must be in the opposite position to lever B. 3. If lever A is down, lever C must be up to unlock the box. Initially, all levers are in the 'up' position. What is the correct configuration of levers to unlock the box?","To unlock the box, set lever A to 'down,' lever B to 'up,' and lever C to 'down.' This satisfies all rules: Rule 1 is not applicable since lever A is down. Rule 2 is satisfied as lever C is in the opposite position to lever B. Rule 3 is satisfied since lever A is down and lever C is up.","A: up, B: down, C: up","A: down, B: up, C: down","A: up, B: up, C: down","A: down, B: down, C: up",Another answer,1
Optimization of actions and planning,"In a card game, you have to pick exactly one card from a standard deck of 52 cards to win a round. The win condition is that the card must be either a spade or an ace. What is the minimal number of rounds you must play to guarantee at least a 90% probability of winning at least once? Assume you can't change the deck and every draw is independent.","Let's denote P(winning at least once) as P(W) and P(losing a single round) as P(L). There are 13 spades and 3 non-spade aces in a deck. Therefore, P(win a single round) = 16/52 = 4/13. Thus, P(L) = 1 - 4/13 = 9/13. We want P(W) >= 0.90 in n rounds. So we have (1 - P(L)^n) >= 0.90. It translates to 1 - (9/13)^n >= 0.90, so (9/13)^n <= 0.10. Taking log base 9/13 on both sides, we get n * log(9/13) <= log(0.10). We solve for n, n >= log(0.10) / log(9/13). Through calculation, n >= 6.54. Since we cannot play a fraction of a round, we must play at least 7 rounds.",5,6,7,8,Another answer,2
Spatial reasoning,"Imagine you have a cube made up of 27 smaller cubes, in a 3x3x3 configuration. You start at one corner on the top layer and want to move to the diagonally opposite corner on the bottom layer. You can move in any direction along the edges of the smaller cubes, but you cannot move diagonally across a face or through a cube. What is the minimum number of moves required to reach the opposite corner?","To reach the opposite corner of the cube from the starting point without moving diagonally across a face or through a cube, the smallest number of moves would be to travel along the edges of the larger cube. From the starting corner, move two edges to reach the opposite edge on the same face (2 moves). Then move down one layer vertically (1 move), and along two edges on the middle layer to reach the edge directly above the bottom opposite corner (2 moves). Finally, move straight down to the bottom layer (1 move). Total moves = 2 (top layer) + 1 (down) + 2 (middle layer) + 1 (down) = 6.",5,6,7,8,Another answer,2
Sequence solving,"You come across a series of numbers that appear to have a pattern. The series is as follows: 2, 3, 5, 9, 17, ___. What is the number that should fill the blank?","This sequence can be understood as follows: each number in the sequence after the first is generated by doubling the previous number and subtracting 1. Thus, the sequence is: 2 (2*2-1) gives 3, (3*2-1) gives 5, (5*2-1) gives 9, (9*2-1) gives 17. Applying the same rule to the last number gives: (17*2-1) which is 33. Therefore, the number that should fill the blank is 33.",25,31,33,34,Another answer,3
Sequence solving,"In a unique sequence, every term after the first is generated by adding the two distinct prime numbers that are closest to the previous term (one smaller, one larger). If the sequence begins with 16, what is the fourth term?","The sequence starts with 16. The two closest primes to 16 are 13 and 17. Adding them, we get the second term: 16 + 13 + 17 = 46. The closest primes to 46 are 43 and 47. Adding them, we get the third term: 46 + 43 + 47 = 136. The closest primes to 136 are 131 and 137. Adding them, we get the fourth term: 136 + 131 + 137 = 404. Therefore, the fourth term is 404.",274,328,404,412,Another answer,5
Sequence solving,"You come across a curious series of numbers written on an ancient wall: 2, 6, 12, 20, 30, 42, 56, __? The series seems to follow a particular pattern. Can you determine the next number in the sequence?","The sequence is generated by the formula n(n+1), where n is the position of the term in the sequence, starting with n=1 for the first term. Thus, each term is the product of two consecutive numbers. The first term is 1(1+1) = 2, the second term is 2(2+1) = 6, the third term is 3(3+1) = 12, and so on. The 8th term will be 8(8+1)=72, which is the next number in the series.",64,72,81,90,Another answer,2
Sequence solving,"Decipher the logic behind the following sequence of numbers and determine the next number in the sequence: 2, 3, 5, 9, 17, ... What is the next number?","Each number in the sequence is one more than twice the previous number. So, the formula to find the next number is: next number = (previous number * 2) + 1. Applying the formula to the last number (17) in the sequence: (17 * 2) + 1 = 34 + 1 = 35.",33,35,36,42,Another answer,1
Spatial reasoning,"You have a large cube made up of 27 smaller cubes (3x3x3) which are identical in appearance. One of the small cubes is made of gold and weighs significantly more than the others. Using a balance scale, what is the minimum number of weighings you need to definitely determine which of the small cubes is the gold one?","First, take any 9 cubes and divide them into 3 groups of 3 cubes each. Weigh two of these groups against each other. If the scale balances, the gold cube is in the third group, which was not weighed. If the scale tips, the heavier side contains the gold cube. Second, from the group containing the gold cube, choose any 2 cubes and weigh them against each other. If one is heavier, then that is the gold cube. If they balance, then the cube not weighed is the gold cube. Only two weighings are required.",2,3,4,5,Another answer,2
Logical traps,"In a game involving three closed boxes, Box A contains a gold bar, Box B is empty, and Box C contains a silver bar. Each box has a statement written on it:\nBox A: 'The gold is in this box.'\nBox B: 'The box with the gold is to the left of the box with the silver.'\nBox C: 'The gold is not in this box.'\nIf only one of these statements is true, which box contains the gold?","Assuming Box A is on the left, followed by Box B in the middle, and Box C on the right:\nIf the gold were in Box A, then both statements on Box A and C would be true, which can't happen since only one statement is true. If the gold were in Box C, then statements on Box A and Box C would be false, which also can't happen as one statement needs to be true. Thus, the gold must be in Box B, making the statement on Box B true, and the other two statements false.",Box A,Box B,Box C,Not enough information to determine,Another answer,2
Spatial reasoning,Imagine a 3x3x3 Rubik's Cube which has been disassembled into 27 small cubes and randomly reassembled. What is the probability that the reassembled cube can be solved without any cube being in its original position (ignoring orientation of the individual small cubes)?,"The probability is 0. In order for a Rubik's Cube to be solvable after being disassembled and reassembled, each of the small cubes must be in a position that is reachable from the original, solved state of the cube through legal twists and turns. This includes keeping the center cubes fixed. Since the reassembly was random and did not account for the fixed positions of the center cubes, it is impossible for the cube to be solvable without at least one cube being in its original position.",1/27,0,1/36,1/18,Another answer,2
Operation of mechanisms,"You are presented with three gears in a line. The first gear has 12 teeth and is connected to the second gear that has 8 teeth. The second gear is connected to the third gear, which has 16 teeth. If the first gear turns clockwise by 30 degrees, which direction does the third gear turn and by how many degrees?","Gears transfer motion in the opposite direction to the gear they are connected to, and the amount of rotation is inversely proportional to the number of teeth. So when the first gear rotates 30 degrees, the second gear will rotate 12/8 * 30 degrees = 45 degrees counterclockwise. Similarly, the third gear will rotate 8/16 * 45 degrees = 22.5 degrees clockwise.","Clockwise, 22.5 degrees","Clockwise, 45 degrees","Counterclockwise, 22.5 degrees","Counterclockwise, 45 degrees",Another answer,5
Spatial reasoning,"Imagine a cube with sides of equal length. Each face of the cube is painted with a different color: red, blue, green, yellow, purple, and orange. The cube is then cut into 27 equal smaller cubes, each with a side length one third of the original cube. Upon examining the smaller cubes, you find that there are exactly 3 cubes with two faces painted and 1 cube with three faces painted. If you know the red and blue faces were opposites on the original cube, what is the color on the face opposite to the green on the original large cube?","Assuming the red and blue are opposite faces on the cube, and since there is only 1 small cube with three painted faces, which must have been the corner piece of the original cube, it must be adjacent to the red and blue faces. This leaves us to deduce the color on the face opposite to the green one. Since green cannot be on the same corner as red and blue (because then we would have more than one cube with three painted sides), it must be opposite yellow, because the red/blue corner would already have green's pair in the corner (either yellow or purple). Therefore, purple must be next to red on one side and blue on the other, and the opposite of green must be yellow.",Yellow,Purple,Orange,Red,Another answer,5
Operation of mechanisms,"You are designing a circular gear system for a clock. This system should have three gears in contact with each other: Gear A, Gear B, and Gear C. Gear A has 12 teeth and Gear B has 16 teeth. If Gear A makes one full rotation, Gear B rotates 1.5 times. Gear C is in contact with Gear B and has an unknown number of teeth. If Gear B makes one full rotation, Gear C rotates twice. How many teeth does Gear C have?","To determine the number of teeth in Gear C, we can analyze the gear ratios between each pair of gears.
    Gear Ratio between A and B:
        Gear A rotates 1 time, while Gear B rotates 1.5 times. This means the gear ratio between them is 1.5:1.
    Gear Ratio between B and C:
        Gear B rotates 1 time, while Gear C rotates 2 times. This means the gear ratio between them is 2:1.
    Combine Ratios to Find Gear C Teeth:
        The overall gear ratio from A to C is the product of the individual ratios (A:B * B:C).
        We know the ratio from A to B (1.5:1) and from B to C (2:1). So, the overall ratio from A to C is 1.5:1 * 2:1 = 3:1.
        Since Gear A has 12 teeth, Gear C will have (12 teeth * 3) / 1 = 36 teeth.",36,8,12,24,Another answer,2
Spatial reasoning,"You have 100 identical-looking keys and one of them can open a lock. If you try one key and it doesn’t work, it breaks. Every time you break a key, the noise it creates wakes up the guard for a minute. You have a 10-minute window to open the lock without getting caught by the guard. The guard just fell asleep. You also remember that every third key in the sequence is more fragile and breaks silently. Assuming it takes you 30 seconds to try a key, what is the strategy to maximize the number of attempts while ensuring the guard doesn’t wake up?","To maximize attempts, you need to exploit the silence of every third key's breakage. With a 10-minute window and every attempt taking 30 seconds, you can theoretically make 20 attempts. However, the guard wakes up upon hearing a break every minute so you can only make 2 noisy attempts per minute without waking up the guard. Therefore, you need to alternate between trying two keys that make noise and one that doesn't. Since every third key doesn't make noise, time your trials such that every third trial is on the minute mark when the guard would wake up from the noise. Thus, every three keys, two will make noise, but will not cumulatively make enough noise to wake the guard up before falling asleep again, while the third, being silent, poses no risk. This way, the guard only risks waking up on the noisy attempts, of which there can be a maximum of two per minute.",Try every third key so you don't make noise at all.,Try keys randomly and hope for the best.,Try two noisy keys per minute intermixed with a non-noisy key.,Wait 2 minutes between each key attempt to avoid waking up the guard.,Another answer,3
Optimization of actions and planning,"You are in charge of planning the schedule for the delivery trucks of a logistics company. There are 4 deliveries to be made today, each at different times. The first delivery is between 9:00-10:00, the second is between 11:00-12:00, the third is between 13:00-14:00, and the fourth is between 15:00-16:00. Each delivery location is a 1-hour drive from the warehouse. The truck can only make one delivery at a time, and it must return to the warehouse after each delivery before heading out to the next one. The truck is available from 8:00. What is the earliest time all deliveries can be completed?","The truck departs for the first delivery at 8:00 and will make it back by 10:00, just in time to leave for the second delivery. The second delivery is completed by 13:00, including the return. The third delivery is completed by 16:00, and the fourth delivery is completed by 19:00. So, the earliest all deliveries can be completed is 19:00.",17:00,18:00,19:00,20:00,Another answer,5
Operation of mechanisms,"You have three gear wheels in a mechanism. Gear A has 6 teeth, Gear B has 8 teeth, and Gear C has 14 teeth. Gear A is connected directly to Gear B, but Gear B is NOT directly connected to Gear C. Instead, there's a chain running from Gear B to Gear C, so they rotate in the same direction. If Gear A rotates clockwise at a speed of 60 rotations per minute (RPM), how many RPM does Gear C have?","Gear A and Gear B are in direct contact, so the rotation of A will influence B inversely. The teeth ratio is 6:8 or 3:4. For every 3 rotations of Gear A, Gear B will rotate 4 times. Gear B rotates in the same direction as Gear C because of the chain, so their RPM is the same. Since Gear A rotates at 60 RPM, Gear B, and therefore Gear C, will rotate at (60 * 4) / 3 = 80 RPM.",60,80,100,120,Another answer,2
Sequence solving,"You come across an ancient door with a sequence of numbers inscribed upon it: 2, 4, 8, 16, 32. Above it, a question is posed: 'Continue the sequence.' Four options are presented on stones beneath the door: 48, 64, 72, 96. Only by placing the stone with the correct number into the door's keyhole will it open. Which stone should you pick?","The sequence is a series where each number is the previous number multiplied by 2: 2x2=4, 4x2=8, 8x2=16, 16x2=32. Therefore, to continue the sequence, we multiply 32 by 2 to get 64.",48,64,72,96,Another answer,2
Operation of mechanisms,"You are an engineer tasked with designing a clock with three rotating gears. Gear A has 12 teeth and is connected to the minute hand, completing one full rotation every hour. Gear B has 8 teeth and is connected to gear A. Gear C has 16 teeth and works with the hour hand, completing one full rotation every 12 hours. Gears A and C rotate clockwise, while gear B rotates counter-clockwise. How many teeth will pass the 12 o'clock position marker on gear B after 6 hours of operation?","In 6 hours, gear A will have completed 6 rotations. Since gear B has 8 teeth and is meshed with gear A's 12 teeth, each rotation of gear A will cause gear B to rotate 1.5 times. Therefore, in 6 hours gear B will have completed 6 * 1.5 = 9 rotations. Given that gear B rotates counter-clockwise and has 8 teeth, a total of 9 * 8 = 72 teeth will pass the 12 o'clock position marker on gear B after 6 hours.",32,54,72,96,Another answer,5
Sequence solving,"You are presented with a sequence of numbers that follow a specific logic: 2, 6, 12, 20, 30, 42, 56, 72, 90, ?. What is the next number in the sequence?","The pattern of the sequence is found by adding consecutive even numbers to the previous term in the sequence (2, 4, 6, 8, 10, 12, 14, 16, 18...). To find the next term after 90, we add the next even number, which is 20, to 90. Therefore, the next number in the sequence is 90 + 20 = 110.",100,108,110,112,Another answer,3
Optimization of actions and planning,"You have two water jars, one with a capacity of 5 liters and the other with a capacity of 3 liters. There is a large barrel of water from which you can fill the jars. You need to measure exactly 4 liters of water to diffuse a time-sensitive bomb. You can fill the jars, empty them out, and pour water from one jar to the other. How do you measure exactly 4 liters of water?","Step 1: Fill the 5-liter jar to the top. Step 2: Pour water from the 5-liter jar into the 3-liter jar until it is filled. You should now have 2 liters left in the 5-liter jar. Step 3: Empty the 3-liter jar. Step 4: Pour the remaining 2 liters from the 5-liter jar into the 3-liter jar. Step 5: Fill the 5-liter jar again to the top. Step 6: Pour water from the 5-liter jar to fill the 3-liter jar (which already contains 2 liters). You will pour 1 liter, and you'll have exactly 4 liters left in the 5-liter jar.",Fill the 3-liter jar twice.,"Fill the 5-liter jar and pour into the 3-liter jar until it's full, then empty the 3-liter jar, pour the remaining 2 liters into the 3-liter jar, fill the 5-liter jar again, and use it to top off the 3-liter jar, leaving 4 liters in the 5-liter jar.",Fill the 5-liter jar completely and guess when you pour out to make 4 liters.,Transfer water back and forth until you get lucky with 4 liters.,Another answer,2
Sequence solving,"Consider the following sequence of numbers: 2, 3, 5, 7, 11. What is the next number in this sequence?","The sequence is a list of prime numbers, which are numbers greater than 1 that have no positive divisors other than 1 and themselves. The next prime number after 11 is 13.",12,13,14,16,Another answer,2
Spatial reasoning,"Imagine you are in a large room where all six walls (the four walls around you, the ceiling, and the floor) are covered with equally-sized square tiles. One tile is missing from one of the walls, and you are given a single tile to fill this gap. While you are examining the room, the lights turn off, plunging the room into total darkness. You know the missing tile is on one of the four vertical walls. Using only your sense of touch, how can you ensure that you place the tile on the wall so that its orientation matches the pattern on the rest of the wall?","Since you know the tile is square, it will fit in the gap regardless of rotation, but it could potentially be misaligned. To ensure proper orientation, you need to feel for the tiles directly adjacent to the missing tile. By aligning the edges of your tile with the edges of the adjacent tiles, you can make sure you are following the correct pattern orientation.",Align the edges of your tile to the adjacent tiles on the wall.,Place the tile randomly; orientation doesn't matter.,Wait for the lights to turn on to see the correct orientation.,Use a coin flip to decide the orientation.,Another answer,1
Spatial reasoning,"You have a 3D model of a solid object that is a combination of a cube and a pyramid. The base of the pyramid is a square that sits perfectly on top of the square face of the cube. The height of the pyramid is equal to the side of the base square. If the volume of the cube is given as 64 cubic units, what is the total volume of the solid object combining the cube and the pyramid?","The volume of the cube is 64 cubic units, which means each side of the cube is 4 units (since the volume of a cube is side^3, hence side = cube root of volume). The pyramid sits on top of a face of the cube, so its base side is also 4 units. The volume of a pyramid is (1/3) * base_area * height. Here, both base area and height equals 4 units. Thus, volume of pyramid is (1/3) * 4^2 * 4 = (1/3) * 16 * 4 = 64/3 cubic units. Total volume is the sum of the cube and pyramid volumes: 64 + 64/3 = 192/3 + 64/3 = 256/3 cubic units.",85.33 cubic units,86 cubic units,256/3 cubic units,96 cubic units,Another answer,3
Lateral thinking,A man pushed his car to a hotel and lost his fortune. What happened?,"The man was playing Monopoly, a board game. When he pushed his car token to land on a hotel property, he landed on another player's property with a hotel on it. This required a payment so large that he lost all of his Monopoly money, thus 'losing his fortune'.",He made a bad investment in real estate.,He was playing Monopoly.,"The car was a rare collectible, and it got damaged.",He was penalized for illegal street racing.,Another answer,2
Lateral thinking,"A man goes to bed, and he turns off the light causing lots of people to panic. Where is the man, and why did turning off the light cause panic?","The man is a lighthouse keeper, and by turning off the light in the lighthouse, he caused panic among the ships close to the shore as they might run aground or collide without the guidance of the lighthouse.","The man is at home, and a power outage caused the panic.","The man is in an office, and the light signaled the end of a sale.","The man is in a submarine, and turning off the light signaled an emergency.","The man is a lighthouse keeper, and turning off the lighthouse light caused panic among nearby ships.",Another answer,4
Spatial reasoning,Imagine a 3x3x3 cube made from 27 smaller identical cubes. This large cube has the outer surface painted red. The cube is now cut into its 27 smaller cubes. A blindfolded person reassembles the smaller cubes back into a 3x3x3 cube without knowing which sides of the smaller cubes are painted. What is the probability that the reassembled cube will have the outside completely painted red?,"The only way for the reassembled cube to have its outside completely painted red is if each smaller cube is returned to its original location with the correct orientation. Since the center cube of each face (6 in total) has only one painted side, they cannot be confused with any other piece, and the center cube of the large cube has no paint, so it also cannot be confused. The corner cubes each have three painted sides, and there are 8 corner cubes, which can be arranged in 8! different ways, and each corner cube can be oriented in 3 different ways that have painted sides facing outward, so the orientations of the corner cubes can be done in 3^8 ways. The edge cubes have 2 painted sides and there are 12 such cubes. The edge cubes can be arranged in 12! ways and each can be oriented in 2 ways, so the orientation of edge cubes can be done in 2^12 ways. Hence, the probability P is calculated by the formula: P = 1 / (8! * 12! * 3^8 * 2^12).",1 / (8^3 * 3^8 * 2^8),1 / (8! * 12! * 3^8 * 2^12),1 / (8! * 3^12),1 / (6! * 3! * 8! * 2^12),Another answer,5
Spatial reasoning,"Anna, Ben, and Clara are standing in a straight line, facing north. Anna is 10 meters behind Ben, and Clara is 15 meters in front of Ben. They all start walking north at the same time. Anna walks at a speed of 2 meters per second, Ben walks at a speed of 1.5 meters per second, and Clara walks at a speed of 1 meter per second. After how many seconds will Anna be at the same point as Ben?","Let's consider the relative speed of Anna and Ben. Anna is walking at 2 m/s, and Ben is walking at 1.5 m/s, so Anna is closing the gap at a rate of 2 - 1.5 = 0.5 meters per second. The initial gap between Anna and Ben is 10 meters. To find out how many seconds it will take for Anna to be at the same point as Ben, divide the distance gap by the relative speed: 10 meters / 0.5 meters/second = 20 seconds.",10 seconds,15 seconds,20 seconds,25 seconds,Another answer,3
Lateral thinking,"You have 12 coins and a balance scale. However, 11 coins are identical, and one coin is slightly heavier than the rest. Using the balance scale only three times, determine which coin is the heavier one.","First, divide the 12 coins into three equal groups of four coins each. Let's name them Group A, Group B, and Group C.

Step 1: Weigh Group A against Group B.
- If they balance, then the heavier coin is in Group C. Proceed to step 3.
- If they don't balance, then the heavier coin is in the group that tips the scale. Proceed to step 2 with the heavier group.

Step 2: Assuming one of the groups from the first step was heavier, take that group, and divide it into two pairs. Weigh one pair against the other.
- If they balance, then the heavier coin is the remaining coin not weighed. You have identified the heavier coin in two steps.
- If they don't balance, then the heavier coin is in the pair that tips the scale. Proceed to step 3, using only the heavier pair.

Step 3: Take the two suspicious coins from the heavier pair or group and weigh one against the other to identify the heavier coin.",Impossible with just three uses of the scale,Divide the coins into groups and compare weights,Weigh each coin individually,The task cannot be completed due to insufficient data,Another answer,2
Optimization of actions and planning,"You are in charge of scheduling a conference with 3 separate talks. Each talk can only be scheduled at the beginning of the hour, and the whole conference must finish within 3 hours. The first talk must be scheduled last due to the availability of the speaker. The second talk has three times the attendees as the first, and the third talk has twice as many attendees as the second. The rooms available can only host talks in consecutive hours. Given that attendees should have an easy flow through the talks, how should you schedule the talks to maximize attendee convenience?","To maximize convenience, you should schedule the talks in decreasing order of attendance. The third talk should be scheduled first, with the highest number of attendees, then the second talk in the next hour, and finally the first talk in the last hour. This way, the crowd moves from a bigger to a smaller venue, making transitions between talks easier.","Schedule Talk 1 at 1 PM, Talk 2 at 2 PM, Talk 3 at 3 PM","Schedule Talk 3 at 1 PM, Talk 2 at 2 PM, Talk 1 at 3 PM","Schedule Talk 2 at 1 PM, Talk 3 at 2 PM, Talk 1 at 3 PM","Schedule Talk 1 at 1 PM, Talk 3 at 2 PM, Talk 2 at 3 PM",Another answer,2
Operation of mechanisms,"A new security system uses a dial that consists of 5 different symbols arranged in a circle. The dial can be rotated clockwise or counterclockwise, and to unlock the system, you must align the correct symbol sequence. Observing the system, you note that each rotation made is always followed by a reverse rotation of fewer steps. For instance, if the dial is rotated 4 steps clockwise, the next move will be less than 4 steps counterclockwise. Starting with the sequence [A, B, C, D, E] and knowing that four moves are made, with step sizes of '3', '2', '4', and '1' respectively, determine the final sequence. The first move is always clockwise, and the sequence is always maintained (no symbols are replaced).","The initial sequence is [A, B, C, D, E]. Move 1: Rotate 3 steps clockwise => [C, D, E, A, B]. Move 2: Rotate 2 steps counterclockwise => [E, A, B, C, D]. Move 3: Rotate 4 steps clockwise => [B, C, D, E, A]. Move 4: Rotate 1 step counterclockwise => [C, D, E, A, B]. Thus, the final sequence is [C, D, E, A, B].","[C, D, E, A, B]","[D, E, A, B, C]","[B, A, E, D, C]","[A, B, C, D, E]",Another answer,1
Sequence solving,"If the sequence follows the rule 'Add the previous two numbers to get the next number,' and starts with 2 and 3, what is the 6th number in the sequence?","The sequence is a Fibonacci sequence that starts with 2 and 3. The numbers progress as follows: 2, 3, 5 (2+3), 8 (3+5), 13 (5+8), and 21 (8+13). So, the 6th number is 21.",13,18,21,26,Another answer,3
Logical traps,"You have two jars with 50 white beans and 50 black beans, respectively. In a dark room where you cannot see the colors of the beans, you are allowed to redistribute the beans as you like, as long as all the beans are in the jars at the end. Once you exit the room, you must draw a bean from a jar of your choosing with the aim to maximize the probability of drawing a white bean. How should you redistribute the beans and which jar should you draw from to maximize the chance of drawing a white bean?","Place one white bean in one jar and all the other beans (49 white and 50 black beans) in the other jar. By doing this, in the first jar, you have a guaranteed chance (100%) of drawing a white bean. Choosing the first jar with one bean gives you the maximum probability of drawing a white bean.",Put all beans in one jar,"Put all white beans in one jar, and all black beans in another",Put one white bean in one jar and the rest in the other,Put an equal number of white and black beans in each jar,Another answer,3
Optimization of actions and planning,"You are in charge of planning the transportation of identical goods from a factory to two separate warehouses. The first warehouse is located 40 miles east of the factory, and the second warehouse is located 30 miles north. Your truck can carry enough goods for only one warehouse per trip, and it costs $2 per mile to run the truck. To save on cost, you have decided to deliver the goods to both warehouses using the least amount of miles possible, but you must return to the factory after each delivery before heading to the other warehouse. What is the least amount of miles you would need to cover to complete both deliveries?","The optimal route is to first deliver goods to the closer warehouse (30 miles north), travel back to the factory (30 miles south), and then deliver to the second warehouse (40 miles east), and finally return to the factory (40 miles west). Total distance traveled is 30 + 30 + 40 + 40 = 140 miles. This is the least amount of miles because any other combination would increase the total distance, given the constraints of the problem.",140 miles,150 miles,160 miles,170 miles,Another answer,1
Spatial reasoning,"Imagine a room that is a perfect cube, and every wall including the floor and the ceiling is painted in a different color. There are six colors used: red, blue, green, yellow, orange, and purple. The red wall is opposite to the blue wall, the green wall is to the left of the red wall and the ceiling is painted yellow. If you are standing facing the orange wall, what color is the floor?","Since the ceiling is yellow and you are facing the orange wall, the purple wall must be behind you. With the red wall opposite the blue wall and the green wall to the left of the red wall, the green wall is on your right and the red wall on your left. Therefore, the floor must be blue, as it is the only color not visible and opposite the ceiling.",Green,Red,Blue,Purple,Another answer,4
Classic riddles,"A man it was, and he did thrive; by him, many things were alive. When he moved, so they would bloom; Without him, impending doom. What is he?","The answer to this classic riddle is the Sun. When it moves across the sky, many plants and organisms rely on its sunlight to thrive and grow. Without the presence of sunlight, life on Earth would face a lot of challenges as the Sun is a primary energy source for the ecosystem.",The Sun,The Moon,The Wind,The Ocean,Another answer,1
Spatial reasoning,"Imagine a 3D space where you have a cube. Each edge of the cube measures 1 unit. Now, place a single ant at one corner of the cube. The ant can only move along the edges of the cube and must reach the diagonally opposite corner of the cube. The ant cannot move across the faces or through the interior of the cube. What is the shortest path the ant can take to reach the diagonally opposite corner measured in the number of edges traversed?","The shortest path from one corner of a cube to the diagonally opposite corner, traveling only along the edges, is three edges. The ant can move along three adjacent edges that do not lie on the same face to reach the opposite corner. Imagine the cube as having a front, bottom, and side edge exposed from the starting corner. The ant can first travel along the bottom edge, then ascend via the side edge, and finally traverse the top back edge to reach the diagonally opposite corner. This is the shortest path as any other combination would result in more than three edges.",3 edges,4 edges,2 edges,5 edges,Another answer,1
Spatial reasoning,"You have a cubical block of cheese that is 5 inches along each edge. You take slices from it, which are 1 inch thick, parallel to one of the faces of the cube. After making three slices, you realize that you've sliced off every corner of the original cube. How many 1-inch cubes of cheese will you have after making these three slices?","After the first slice, you'll have a 5x5x1 inch slab of cheese removed, leaving you with a 5x5x4 inch remaining block. The second and third slices take off 1-inch strips from two additional sides. Each slice removes 4 corners. The original cube had 8 corners. Now, every corner of the original cube has been sliced off in a 1-inch cube, so you've removed 8 cubes in total. With each slice, you are taking off a 5x1 inch strip seen from the top, so you remove 5 + 4 + 3 = 12 cubes. But, we must not forget that at two of the slices we are removing 1-inch cubes that are at the intersection of two slices (the corners which have already been counted). These are 2 on the second slice (since 2 corners belong to the first slice) and 1 on the third slice (2 corners belong to the previous slices and only 1 is new, because the other is at the intersection with the first slice, already removed). So, from the slices we have 12 - 3 = 9 unique 1-inch cubes. Adding the 8 corners removed from the first slice, we have 8 + 9 = 17 1-inch cubes.",15,17,19,21,Another answer,5
Operation of mechanisms,"In a magical land, there are three mysterious machines, each with two slots for inserting coins. Machine A, B, and C operate as follows: Machine A doubles the amount of gold in the first slot and adds 10 gold to the second slot. Machine B triples the amount of gold in the first slot and halves the amount of gold (rounding down) in the second slot. Machine C takes the sum of gold from both slots and places the total in the second slot, leaving the first slot empty. You start with one gold coin each in both slots of machine A. If you can only use each machine once and in any order, what is the maximum amount of gold you can have in a single slot after using all three machines?","To maximize the gold, first use machine B which will triple the gold in the first slot (3 gold) and half the second slot, rounded down (5 gold). Then use machine A, which will double the first slot (6 gold) and add 10 to the second slot (15 gold). Finally, use machine C, which sums the gold and places it in the second slot, leaving us with 0 gold in the first slot and 21 gold in the second slot.",21 gold,20 gold,22 gold,19 gold,Another answer,5
Optimization of actions and planning,"Anna needs to prepare and deliver handmade crafts for a local fair. She has only 8 hours to make as many pieces as possible. She can make small figures that take 20 minutes each or larger figures that take 1 hour each. For every three small figures, she gets a profit of $15, and for each large figure, she gets a profit of $10. What is the maximum profit she can earn in 8 hours if she needs at least 1 hour to pack and deliver them all?","Anna has 7 hours left after allocating 1 hour for packing and delivery. In 7 hours, she can make a maximum of 21 small figures (7 hours * 3 figures/hour) or 7 large figures (7 hours/1 hour per figure). The maximum profit for small figures is (21/3) * $15 = $105. The maximum profit for large figures is 7 * $10 = $70. Therefore, the maximum profit Anna can earn is $105 by making only small figures.",$70,$80,$100,$105,Another answer,4
